designator, library, device, value, package, MANUF, PARTNUM, SUPPLIER, VALSTAT, BOM, SUBST, DESC, DVAL
B1, "connector", "BATTERY-AA", "", "BATTERY-AA", "", "", "", "", "", "", "", ""
B2, "connector", "BATTERY-AA", "", "BATTERY-AA", "", "", "", "", "", "", "", ""
B3, "connector", "BATTERY-AA", "", "BATTERY-AA", "", "", "", "", "", "", "", ""
C1, "rcl", "C-EUC0805", "1u", "C0805", "", "", "", "", "", "", "", ""
C2, "rcl", "C-EUC0805", "1u", "C0805", "", "", "", "", "", "", "", ""
C3, "rcl", "C-EUC0805", "10u", "C0805", "", "", "", "", "", "", "", ""
C4, "rcl", "C-EUC0805", ".1u", "C0805", "", "", "", "", "", "", "", ""
C5, "rcl", "C-EUC0805", "1u", "C0805", "", "", "", "", "", "", "", ""
C6, "rcl", "C-EUC0805", "1u", "C0805", "", "", "", "", "", "", "", ""
C20, "rcl", "C-EUC0603", ".1u", "C0603", "", "", "", "", "", "", "", ""
C21, "rcl", "C-EUC0603", ".1u", "C0603", "", "", "", "", "", "", "", ""
C22, "rcl", "C-EUC0603", ".1u", "C0603", "", "", "", "", "", "", "", ""
C23, "rcl", "C-EUC0603", ".1u", "C0603", "", "", "", "", "", "", "", ""
C24, "rcl", "C-EUC0603", "15p", "C0603", "", "", "", "", "", "", "", ""
C25, "rcl", "C-EUC0603", "15p", "C0603", "", "", "", "", "", "", "", ""
C26, "rcl", "C-EUC0805", "1u", "C0805", "", "", "", "", "", "", "", ""
C30, "rcl", "C-EUC0805", "1u", "C0805", "", "", "", "", "", "", "", ""
C31, "rcl", "C-EUC0805", ".1u", "C0805", "", "", "", "", "", "", "", ""
C32, "rcl", "C-EUC0805", "26p", "C0805", "", "", "", "", "", "", "", ""
C33, "rcl", "C-EUC0805", "26p", "C0805", "", "", "", "", "", "", "", ""
C34, "rcl", "C-EUC0805", "10u", "C0805", "", "", "", "", "", "", "", ""
C35, "rcl", "C-EUC0805", ".1u", "C0805", "", "", "", "", "", "", "", ""
C38, "rcl", "C-EUC0805", "10u", "C0805", "", "", "", "", "", "", "", ""
C39, "rcl", "C-EUC0805", ".1u", "C0805", "", "", "", "", "", "", "", ""
C40, "rcl", "C-EUC0805", ".1u", "C0805", "", "", "", "", "", "", "", ""
C41, "rcl", "C-EUC0805", "10u", "C0805", "", "", "", "", "", "", "", ""
D1, "diode", "DIODE-MINIMELF", "", "MINIMELF", "", "", "", "", "", "", "", ""
D2, "diode", "DIODE-SOD123", "B0520LW", "SOD123", "", "B0520LW", "", "", "", "", "", ""
GND, "testpad", "TPTP10R", "TPTP10R", "TP10R", "", "", "", "", "", "", "", ""
GPX, "testpad", "TPTP10R", "TPTP10R", "TP10R", "", "", "", "", "", "", "", ""
IC1, "linear", "LMV321M7", "LMV321M7", "SC70-5L", "", "LMV301", "", "", "", "", "", ""
IC2, "m_vreg", "TLV700XX_DCK", "TLV70030 DCK", "SC70-5_DCK", "", "TLV70030 DCK", "", "", "", "", "", ""
IC20, "xmega", "AVR_XMEGA_A4_44A", "AVR_XMEGA_A4_44A", "TQFP44", "", "", "", "", "", "", "", ""
IC30, "m_ic-comm", "MAX3420EETG", "MAX3420E", "TQFN24", "", "", "", "", "", "", "", ""
IC31, "m_ic-signal", "MMA7455LLARGEPAD", "MMA7455L", "LGA-14-LARGEPAD", "", "MMA7455L", "", "", "", "", "", ""
IC32, "m_module", "VINCOTECH-GPS_A1035-H", "A1035-H", "A1035-H_GPS", "", "", "", "", "", "", "", ""
IC33, "m_ic-other", "AT26DF081A-SU", "AT26DF081A", "EIAJ-SOIC8", "", "", "", "", "", "", "", ""
LED1, "m_opto", "TOPLED-2-LSG_T676_SMALLPAD", "", "P-LCC-4_SMALLPAD", "", "LSG T676-", "", "", "", "", "", ""
LED2, "m_opto", "TOPLED-2-LSG_T676_SMALLPAD", "", "P-LCC-4_SMALLPAD", "", "LSG T676-", "", "", "", "", "", ""
Q1, "m_transistor", "DMG1013UW", "DMG1013UW", "SOT323", "diodes:DMG1013UW;", "DMG1013UW", "", "", "", "", "", ""
Q2, "zetex", "PNPSOT223", "ZXTP19060CG", "SOT223", "", "ZXTP19060CG", "", "", "", "", "", ""
Q3, "zetex", "NPNSOT23", "MMBT4124", "SOT-23", "", "MMBT4124", "", "", "", "", "", ""
Q4, "m_transistor", "DMG1013UW", "DMP2160UW", "SOT323", "diodes:DMP2160UW;", "DMP2160UW", "", "", "", "", "", ""
Q5, "m_opto", "XOB17-04X3", "", "XOB17-SOLARCELL", "", "XOB17-04x3", "", "", "", "", "", ""
Q6, "m_opto", "XOB17-04X3", "", "XOB17-SOLARCELL", "", "XOB17-04x3", "", "", "", "", "", ""
Q7, "m_opto", "XOB17-04X3", "", "XOB17-SOLARCELL", "", "XOB17-04x3", "", "", "", "", "", ""
Q8, "m_transistor", "DMG1012UW", "DMG1012UW", "SOT323", "diodes:DMG1012UW;", "DMG1012UW", "", "", "", "", "", ""
R1, "rcl", "R-US_R0805", "30", "R0805", "", "", "", "", "", "", "", ""
R2, "rcl", "R-US_R0805", "1k", "R0805", "", "", "", "", "", "", "", ""
R3, "rcl", "R-US_R0805", "1MEG", "R0805", "", "", "", "", "", "", "", ""
R4, "rcl", "R-US_R0805", "10k", "R0805", "", "", "", "", "", "", "", ""
R5, "rcl", "R-US_R0805", "600", "R0805", "", "", "", "", "", "", "", ""
R6, "rcl", "R-US_R0805", "300k", "R0805", "", "", "", "", "", "", "", ""
R7, "rcl", "R-US_R0805", "100k", "R0805", "", "", "", "", "", "", "", ""
R8, "rcl", "R-US_R0805", "10k", "R0805", "", "", "", "", "", "", "", ""
R9, "rcl", "R-US_R0805", "1k", "R0805", "", "", "", "", "", "", "", ""
R10, "rcl", "R-US_R1210", "0R2", "R1210", "", "PT1206FR-070R2L", "", "", "", "", "", ""
R11, "rcl", "R-US_R0805", "178k", "R0805", "", "", "", "", "", "", "", ""
R12, "rcl", "R-US_R0805", "107k", "R0805", "", "", "", "", "", "", "", ""
R13, "rcl", "R-US_R0805", "1MEG", "R0805", "", "", "", "", "", "", "", ""
R20, "rcl", "R-US_R0805", "62R", "R0805", "", "", "", "", "", "", "", ""
R21, "rcl", "R-US_R0805", "62R", "R0805", "", "", "", "", "", "", "", ""
R22, "rcl", "R-US_R0805", "62R", "R0805", "", "", "", "", "", "", "", ""
R23, "rcl", "R-US_R0805", "62R", "R0805", "", "", "", "", "", "", "", ""
R30, "rcl", "R-US_R0805", "33R", "R0805", "", "", "", "", "", "", "", ""
R31, "rcl", "R-US_R0805", "33R", "R0805", "", "", "", "", "", "", "", ""
RX, "testpad", "TPTP10R", "TPTP10R", "TP10R", "", "", "", "", "", "", "", ""
SW1, "m_switch-mechanical", "PANASONIC-EVQP2", "Mark", "PANASONIC_EVQP2_TACT-SWITCH", "", "EVQ-P2H02B", "", "", "", "", "", ""
